Roll 1,Roll 2,Total
1,4,5
1,6,7
1,3,4
2,5,7
2,6,8
1,3,4
4,5,9
4,2,6
6,3,9
1,4,5
2,5,7
4,3,7
4,6,10
2,2,4
5,4,9
5,1,6
6,5,11
1,4,5
2,1,3
2,5,7
2,2,4
3,1,4
1,2,3
1,1,2
4,6,10
6,4,10
6,5,11
6,4,10
1,1,2
1,2,3
1,1,2
5,5,10
1,5,6
1,2,3
3,6,9
5,6,11
4,3,7
6,5,11
5,4,9
1,2,3
1,3,4
1,1,2
2,1,3
3,3,6
2,6,8
1,5,6
4,3,7
3,2,5
4,1,5
5,1,6
4,5,9
2,4,6
2,4,6
3,1,4
2,6,8
1,4,5
1,1,2
4,3,7
5,3,8
6,4,10
5,3,8
6,2,8
3,6,9
5,6,11
1,2,3
3,3,6
1,1,2
6,1,7
1,6,7
3,2,5
5,6,11
3,2,5
4,1,5
3,6,9
1,4,5
4,4,8
1,2,3
5,2,7
2,6,8
5,3,8
1,3,4
4,5,9
2,3,5
2,4,6
6,3,9
5,2,7
3,2,5
5,4,9
6,1,7
2,4,6
6,1,7
1,1,2
3,3,6
2,1,3
3,2,5
4,4,8
3,1,4
6,3,9
5,4,9
4,1,5
